Province_State,Country_Region,Days Passed,Infected,Deaths,Recovered,Active,Fatal per Confirmed,Recovered per Confirmed,Fatal per(Fatal or recovered),Growth Rate,Daily Confirmed,Population,Susceptible
South Carolina,US,55,6258,256,3622,2380,0.040907638,0.578779163,0.066013409,0.765258216,163,5150000,5140120
South Carolina,US,56,6489,267,3622,2600,0.041146556,0.558175374,0.068655181,1.417177914,231,5150000,5139889
South Carolina,US,57,6626,275,3622,2729,0.041503169,0.54663447,0.070567103,0.593073593,137,5150000,5139752
South Carolina,US,58,6757,283,3622,2852,0.041882492,0.536036703,0.072471191,0.95620438,131,5150000,5139621
South Carolina,US,59,6841,296,3622,2923,0.043268528,0.529454758,0.075548749,0.641221374,84,5150000,5139537
South Carolina,US,60,6936,305,3816,2815,0.043973472,0.55017301,0.074011162,1.130952381,95,5150000,5139248
South Carolina,US,61,7142,316,3816,3010,0.044245309,0.534304116,0.076476283,2.168421053,206,5150000,5139042
South Carolina,US,62,7367,320,3816,3231,0.043436949,0.517985612,0.077369439,1.09223301,225,5150000,5138817
South Carolina,US,63,7531,330,4120,3081,0.043818882,0.547072102,0.074157303,0.728888889,164,5150000,5138349
South Carolina,US,64,7653,331,4120,3202,0.043251013,0.538350973,0.074365311,0.743902439,122,5150000,5138227
South Carolina,US,65,7792,346,4120,3326,0.044404517,0.528747433,0.07747425,1.139344262,139,5150000,5138088
South Carolina,US,66,7927,355,4914,755,0.044783651,0.859972247,0.049498048,0.971223022,135,5150000,5137159
South Carolina,US,67,8030,362,5076,851,0.045080946,0.848941469,0.05042485,0.762962963,103,5150000,5136894
South Carolina,US,68,8189,371,5076,2904,0.045304677,0.600073269,0.070198675,1.54368932,159,5150000,5136735
South Carolina,US,69,8407,380,5076,2951,0.045200428,0.603782562,0.069648094,1.371069182,218,5150000,5136517
South Carolina,US,70,8661,380,5076,3205,0.043874841,0.586075511,0.069648094,1.165137615,254,5150000,5136263
South Carolina,US,71,8816,385,5451,3355,0.043670599,0.575771325,0.070499908,0.61023622,155,5150000,5135733
South Carolina,US,72,8942,391,5451,3475,0.043726236,0.567658242,0.071520029,0.812903226,126,5150000,5135607
South Carolina,US,73,9056,399,5451,3206,0.044059187,0.601921378,0.068205128,0.904761905,114,5150000,5135493
South Carolina,US,74,9175,407,5743,3317,0.044359673,0.594114441,0.069477637,1.043859649,119,5150000,5135082
South Carolina,US,75,9381,416,5743,3514,0.044344953,0.581068116,0.070905062,1.731092437,206,5150000,5134876
South Carolina,US,76,9638,419,5743,3476,0.04347375,0.595870513,0.067997403,1.247572816,257,5150000,5134619
